"whichScene","hierarchy","duration","place","time","location","start_time","end_time","vid_duration","howManyShots","arousal_mean","number_people","duration_ratio","start_time_buffer","end_time_buffer","vid_duration_buffer","frame_position","Jumps","characterChanges","start_seconds","end_seconds","speech","word_count","bright_mean","bright_sd","normdiff"
97,"Scene",4,"FLASHBACK HIGHWAY","DAY","EXT","01:02:32:07","01:02:36:23",116,2,"-0.56",1,"9.666666667","01:02:32:11","01:02:36:19",108,93811,84165,0,3752.44,3756.76," ###lyrics### ",2,78.7083333333333,9.84587669427095,0.210858636363636
185,"Scene",4,"SAVANNAH","DAY","EXT","01:42:33:22","01:43:20:08",1161,2,"-0.0575",2,"96.75","01:42:34:01","01:43:20:04",1153,153851,60040,0,6154.04,6200.16," ehhmhmhm Sie hat mich im Fernsehen gesehen, Laufen. Sie meint, ich... ...ich soll den neuner Bus nehmen zur Richmond Street. Austeigen und einen Block weitergehen nach links zur Henry Street 1-9-4-7 Apartment 4 Naja Da brauchen sie doch nicht in den Bus zu steigen. Die Henrystreet ist nur 5 oder 6 Blocks weiter. Einfach da runter Einfach da runter Einfach da runter Vielen Dank für die Unterhaltung ",68,73.5208333333333,9.32583065599212,0.261363727272727
103,"Scene",4,"PING PONG TOURNAMENT IN CHINA","DAY","INT","01:05:41:16","01:05:58:06",415,4,"-0.78",1,"34.58333333","01:05:41:20","01:05:58:02",407,98545,-55306,0,3941.8,3958.08," ...der Weltfrieden läge in unseren Händen. Tz, dabei hab ich doch nur Ping Pong gespielt. Als ich wieder nach Haus kam,... ",22,63.6458333333333,28.6807383759184,0.185606272727273
40,"Scene",4,"GIRL'S DORM","NIGHT","EXT","00:21:32:17","00:23:04:23",2306,11,"0.391666667",3,"192.1666667","00:21:32:21","00:23:04:19",2298,32321,-66224,1,1292.84,1384.76,"“I Don't Know Why” ###lyrics### auuuh Das tut weh. uuäh Forrest uuuhm Forrest Forrest Hör auf! Was machst du denn da? Aber er hat dir weh getan. Nein, hat er nicht Geh da rüber! Wer ist das? Wer verdammt noch mal…? Fass mich nicht an! Nicht Du sollst mich nicht anfassen. Du kannst doch jetzt nicht... Billy Warte doch! Er weiß es doch nicht besser. Forrest Warum hast du das gemacht? Ich hab Pralinen für dich. Es tut mir so Leid. Ich geh jetzt wieder in mein College. Forrest Sieh dich doch an! Komm mit! Komm!",96,19.4583333333333,4.32071297427411,0.462121181818182
47,"Scene",4,"WHITE HOUSE (BROADCAST)","DAY","INT","00:26:20:04","00:26:39:08",479,3,"-0.275",2,"39.91666667","00:26:20:08","00:26:39:04",471,39508,7187,0,1580.32,1599.16," Ich gratuliere. Was ist das für ein Gefühl ein All-American zu sein? Ich gratuliere. Wie fühlen Sie sich denn? I, ich... äh ...muss mal pinkeln. heh",27,76.8125,6.19578760860224,0.395202090909091
189,"Scene",4,"GUMP HOUSE","DAY","INT","01:50:13:20","01:50:58:23",1128,5,"-0.333333333",2,"94","01:50:13:24","01:50:58:19",1120,165349,125841,0,6613.96,6658.76,"Hey Hey Du, Forrest Hattest du Angst in Vietnam? Ja Ich meine, ich... ...ich weiß es nicht.",17,85.8541666666667,16.2345935124706,0.338384
72,"Scene",4,"VIETNAM FIELD","DAY","EXT","00:40:21:08","00:41:28:18",1685,14,"0.0125",3,"140.4166667","00:40:21:12","00:41:28:14",1677,60537,-104812,0,2421.48,2488.56,"Viel versteh ich ja nicht davon, aber ich glaube, in dem Krieg da dienten manche, das waren die Besten jungen Amerikaner. Das war Dallas aus Phoenix. Und Cleveland... Hey, Tex Tex Verdammt nochmal, was ist denn da los? Und Tex war... Achje Ach, nichts Viertes Platoon auf die Füße Wir hams nicht mehr weit bis zum Fluss. Vorwärts, Marsch Ok, dann wollen wir mal wieder. #pass du selber auf# #bißchen mehr Tempo# Gump Kontrollier das Loch! Und es gab auch immer irgendwas zu tun. Vorwärts, Männer Los, gebt Feuerschutz!",89,77.1666666666667,22.9476512299123,0.463383727272727
121,"Scene",4,"BUBBA'S GRAVE","DAY","EXT","01:16:44:22","01:17:09:06",609,2,"-0.22",1,"50.75","01:16:45:01","01:17:09:02",601,115126,54589,0,4605.04,4629.08,"Als ich in China war in der Ping Pong Nationalmannschaft, da habe ich am liebsten nur mit meinem Flex-O-Light PingPong Schläger Ping Pong gespielt. chhhhhh Na, jedenfalls habe ich... ",29,105.0625,25.8345093818327,0.064394
99,"Scene",4,"HOLLYWOOD","DAY","EXT","01:02:44:04","01:02:57:23",344,4,"-0.29375",2,"28.66666667","01:02:44:08","01:02:57:19",336,94108,-21018,2,3764.32,3777.76," Hey Will einer mit nach San Francisco? Ja, ich Wahnsinn ###lyrics### ",12,55.7916666666667,12.7376648590158,0.353535181818182
122,"Scene",4,"BAYOU LA BATRE / ON THE BOAT","DAY","EXT","01:17:09:06","01:17:39:02",746,2,"-0.89",1,"62.16666667","01:17:09:10","01:17:38:23",738,115735,21627,0,4629.4,4658.92," Shrimpsfischen ist sehr, sehr schwer. ",6,107.895833333333,14.3924136950581,0.422979818181818
153,"Scene",4,"GUMP HOUSE","DAY","EXT","01:29:09:10","01:30:30:05",2020,13,"-0.036666667",2,"168.3333333","01:29:09:14","01:30:30:01",2012,133739,18004,0,5349.56,5430.04,"Und dann... Hallo, Forrest Hallo, Jenny Jenny war wieder da. Und sie blieb bei mir.",15,90.9166666666667,17.0528367852461,0.434343363636364
9,"Scene",4,"PRINCIPALS OFFICE","DAY","INT","00:07:42:12","00:08:20:05",943,6,"-0.295",3,"78.58333333","00:07:42:16","00:08:20:01",935,11566,-122173,2,462.64,500.04," ...genau hier. Vorschrift für den Besuch eine staatlichen Schule ist ein Intelligenzquotient von mindestens 80. Misses Gump Ihr Sohn muss auf eine Sonderschule gehen. Was hat normal schon zu bedeuten? hach Er mag ja vielleicht... äh ...ein bisschen langsam sein. Es geht um fünf winzige Punkte unter dem Durchschnitt. Da wird sich doch eine Möglichkeit finden lassen?",58,58.5208333333333,14.2965580462466,0.276515181818182
2,"Scene",4,"DOCTORS OFFICE","DAY","INT","00:04:32:06","00:05:12:00",994,3,"0.296666667",2,"82.83333333","00:04:32:10","00:05:11:21",986,6810,-4756,0,272.4,311.84,"Ok, Forrest Kannst deine Augen wieder aufmachen. So und jetzt gehen wir mal ein bisschen. Wie fühlen sie sich an? Er hat kräftige Beine. Misses Gump huuuh Wir werden schon einen aufrechten Kerl aus ihm machen. Was, Forrest?",38,82.8541666666667,10.9474251504289,0.411616181818182
105,"Scene",4,"TV SHOW","DAY","INT","01:06:03:02","01:07:00:20",1443,8,"-0.257",3,"120.25","01:06:03:06","01:07:00:16",1435,99081,92271,3,3963.24,4020.64,"Hier ist er. Mr. Gump Setzen sie sich! mhmhmhm Forrest Gump John Lennon Willkommen in der Heimat. Muss ja ne tolle Reise gewesen sein. Können sie uns... mhmhmhmhm eh In dem Land China... ...da, da haben die Leute so gut wie gar nichts. Und ich China... ...da gehen sie nie in die Kirche. Also auch keine Religion Das ist ja kaum zu glauben. Dick Ein Paar Jahre später,... ...da war der nette, Junge Mann aus England auf dem weg nach Hause. Er wollte zu seinem kleinen Sohn und als er ein paar Autogramme gab,... ...hat ihn jemand erschossen,... ",98,57.3333333333333,9.20618204679811,0.441919090909091
152,"Scene",4,"GUMP HOUSE / BALCONY","NIGHT","EXT","01:28:27:11","01:29:09:10",1049,3,"-0.835",1,"87.41666667","01:28:27:15","01:29:09:06",1041,132690,33609,0,5307.6,5349.24,"Aber nachts... ",2,41.0833333333333,10.5077532702228,0.401515090909091
140,"Scene",4,"BAYOU LA BATRE / ON THE BOAT","DAY","EXT","01:26:06:23","01:26:48:02",1029,9,"-0.5475",2,"85.75","01:26:07:02","01:26:47:23",1021,129177,-3513,2,5167.08,5207.92,"Forrest mhm erghh Er hat es nie so direkt gesagt... ",10,115.5,28.3619062700787,0.329545545454545
26,"Scene",4,"SAVANNAH","DAY","EXT","00:16:20:00","00:16:31:06",281,3,"0.67",1,"23.41666667","00:16:20:04","00:16:31:02",273,24504,-104673,0,980.16,991.08," Von dem Tag an... ",5,68.4583333333333,4.6647046741428,0.119949727272727
137,"Scene",4,"GUMP HOUSE","DAY","INT","01:24:34:08","01:24:50:06",398,3,"0.371666667",2,"33.16666667","01:24:34:12","01:24:50:02",390,126862,102358,1,5074.48,5090.08,"Zurückgeblieben ist überall nur Zerstörung. Louise ",6,52.2916666666667,8.93463214212827,0.284090909090909
34,"Scene",4,"ALLEY","DAY","EXT","00:19:04:09","00:19:31:15",681,14,"0.685208333",3,"56.75","00:19:04:13","00:19:31:11",673,28613,-98249,5,1144.52,1171.44,"Hey, Blödmann Verzieh dich! Hey, Blödmann Hast du nicht gehört? Blödmann Lauf! Na, los, dann zeigs uns! Ahahahaaaahahaha ",18,68.8333333333333,13.1011507706442,0.462121272727273
118,"Scene",4,"BAYOU LA BATRE / BUBBA'S HOME","DAY","EXT","01:15:44:13","01:16:03:15",477,4,"-0.615",1,"39.75","01:15:44:17","01:16:03:11",469,113617,85004,0,4544.68,4563.44,"Ich bin nicht lange zu Hause geblieben. Ich hatte Bubba ja etwas versprochen und ich bemühe mich immer meine Versprechen zu halten. Ich bin nach Bayou la Batre gefahren, zu Bubbas Familie, um ihnen zu sagen, was ich vorhabe. Sind sie ein Idiot? Oder sind sie einfach nur dumm? Mrs Blue Das kann sein. ",54,93.5625,11.5459187004051,0.422979818181818
128,"Scene",4,"APARTMENT / BALCONY","NIGHT","EXT","01:19:02:12","01:20:00:20",1458,10,"0.67",1,"121.5","01:19:02:16","01:20:00:16",1450,118566,4949,0,4742.64,4800.64,"eeeeehaaaaaa ",1,20.0833333333333,12.9124382130588,0.390151545454545
187,"Scene",4,"PARK","DAY","EXT","01:46:58:06","01:47:54:06",1400,4,"-0.575",2,"116.6666667","01:46:58:10","01:47:54:02",1392,160460,41894,2,6418.4,6474.08,"Forrest ### Ich bin krank. Was ist? Hast du Husten? Bist du erkältet? ### Ich hab so eine Art Virus. Und die Ärzte wissen... ....wissen nicht, was es ist. Sie können nichts dagegen tun. Es gibt nichts. iiiiiiiigh Dann komm doch mit mir nach Haus! Jenny Du und... ...der kleine Forrest Ihr kommt mit in... ...in mein Haus in Greenbow. Wenn du krank bist, kann ich für dich Sorgen. Würdest du mich heiraten? Forrest Okay ",75,84.5,21.1633259114999,0.292929272727273
163,"Scene",4,"GUMP HOUSE","NIGHT","EXT","01:33:29:06","01:34:22:21",1340,3,"-0.2075",2,"111.6666667","01:33:29:10","01:34:22:17",1332,140235,-20225,1,5609.4,5662.68,"Jenny Forrest Ich liebe dich doch.",6,28.1666666666667,7.31307463424657,0.368686818181818
106,"Scene",4,"OUTSIDE THE TV STUDIO","DAY","EXT","01:07:00:20","01:07:58:15",1445,15,"0.675",2,"120.4166667","01:07:00:24","01:07:58:11",1437,100524,-39711,3,4020.96,4078.44,"Und dir haben sie tatsächlich die Tapferkeitsmedallie verliehen. Das ist doch Lt. Dan. Lt. Dan Und dir haben sie die Tapferkeitsmedallie verliehen. Dir haben sie sie gegeben. Du bist ein Schwachkopf. Du bist ein Idiot. Du trittst im Fernsehen auf und machst dich da zum Narren von den Augen der gesamten verdammten Nation. Und dir geben sie die Tapferkeitsmedallie. Ja, Sir Na, also Dann ist ja alles bestens. Ich kann dazu nur eines sagen: Gottverdammtes Amerika ohhh ahhhh oh, scheiße Lt. Dan ",82,68.875,7.09072697901344,0.388888909090909
11,"Scene",4,"PRINCIPALS OFFICE","DAY","INT","00:08:27:18","00:08:36:23",230,2,"-0.445",2,"19.16666667","00:08:27:22","00:08:36:19",222,12697,-87827,0,507.88,516.76,"Gibt's einen Mister Gump? Misses Gump Er macht Ferien.",9,73.875,22.8444592446794,0.0656567272727273
22,"Scene",4,"TREE ON A FIELD","DAY","EXT","00:14:07:09","00:14:25:06",447,4,"-0.29",2,"37.25","00:14:07:13","00:14:25:02",439,21188,8491,1,847.52,865.08," Du kannst das auch. ...ein gutes... Kleines... Äffchen... Sie hat mir beim Lesenlernen geholfen. ",15,87.4375,31.3153181003686,0.348484909090909
70,"Scene",4,"VIETNAM RICE FIELD","DAY","EXT","00:39:19:18","00:39:35:13",395,2,"-0.22",1,"32.91666667","00:39:19:22","00:39:35:09",387,58997,37809,0,2359.88,2375.36,"Ich hab sehr viel von der Gegend da zu sehen gekriegt. Wir haben immer ganz ganz lange Wanderungen gemacht.",19,90.3333333333333,10.7863198992843,0.268939454545455
191,"Scene",4,"GUMP HOUSE","DAY","INT","01:51:10:14","01:51:16:11",147,2,"-0.6975",2,"12.25","01:51:10:18","01:51:16:07",139,166768,107771,1,6670.72,6676.28,"Es war so, als wenn die Sonne schlafen geht. Unten am Fluss.",12,105.9375,14.5403533313328,0.0505051818181818
131,"Scene",4,"BAYOU LA BATRE / ON THE BOAT","DAY","EXT","01:21:57:03","01:22:53:18",1415,5,"-0.305",2,"117.9166667","01:21:57:07","01:22:53:14",1407,122932,-43836,1,4917.28,4973.56,"""Mr President (Have Pity On The Working Man)"" Ich hab das Gefühl,... ...wenn wir nach Osten fahren,... Fahr nach links! Wolang? Darüber! Darüber! Da! Hey Geh ans Steuerrad und fahr nach links! ooooooooookkkkaaaaaaaayyyyyyyyyy nein, links, links Da drüben haha Da finden wir unsere Shrimps. huu Wieder keine Shrimps Lt. Dan Okay, hab ich mich eben geirrt. hach Wie sollen wir denn nur welche finden? Na, vielleicht solltest du um die Shrimps beten? ###lyrics### ",73,104.9375,22.9518084551879,0.422979909090909
165,"Scene",4,"GUMP HOUSE","DAY","INT","01:34:49:15","01:35:37:05",1190,4,"-0.78",1,"99.16666667","01:34:49:19","01:35:37:01",1182,142244,19312,0,5689.76,5737.04,"",0,49,18.0790561901686,0.439393818181818
19,"Scene",4,"SCHOOL BUS","DAY","INT","00:12:32:07","00:12:58:14",657,8,"-0.546666667",3,"54.75","00:12:32:11","00:12:58:10",649,18811,-123433,4,752.44,778.4,"Hier sitzt schon einer. Hier auch Hier kannst du auch nicht sitzen. Komisch Was man noch aus seiner Kinderzeit weiß. ...weil,... ",21,58.5833333333333,13.7503443483052,0.440656454545455
16,"Scene",4,"GREENBOW ALABAMA","NIGHT","EXT","00:11:09:15","00:11:42:15",825,6,"0.311",3,"68.75","00:11:09:19","00:11:42:11",817,16744,-2067,2,669.76,702.44,"Und jetzt stellen sie sich mal vor... Das ist nichts für kleine Kinder. Ein paar Jahre später, da hatte der gutaussehende junge Mann, den sie alle den 'King' nannten... ",29,36.2291666666667,4.48033370983849,0.351010090909091
182,"Scene",4,"TRUCK STOP","DAY","EXT","01:40:15:15","01:40:45:21",756,3,"0.148333333",2,"63","01:40:15:19","01:40:45:17",748,150394,133650,1,6015.76,6045.68," Hier, hier, das können sie benutzen. Die Farbe kann sowieso niemand ausstehen. Immer nur lächeln Der hat eine Menge Geld damit verdient.",23,72.6458333333333,13.414484341618,0.417929272727273
171,"Scene",4,"SAVANNAH","DAY","EXT","01:37:21:20","01:37:33:19",299,3,"-0.33",1,"24.91666667","01:37:21:24","01:37:33:15",291,146049,-4345,0,5841.96,5853.6,"Sie wissen schon dann ging ich. Also Sie sind die ganze Zeit gelaufen? Ja",14,72.9791666666667,4.32810363330247,0.126262636363636
119,"Scene",4,"BUBBA'S GRAVE","DAY","EXT","01:16:03:15","01:16:28:20",630,3,"-0.725",1,"52.5","01:16:03:19","01:16:28:16",622,114094,-31955,0,4563.76,4588.64,"Natürlich habe ich auch Bubba selbst meine Ehre erwiesen. Hey Bubba Ich bins. Forrest Gump Und ich hab alles genau ausgerechnet. Ich nehme jetzt die... ",25,113.645833333333,24.2446006953876,0.174242545454545
132,"Scene",4,"CHURCH","DAY","INT","01:22:53:18","01:23:09:08",390,2,"-0.1975",3,"32.5","01:22:53:22","01:23:09:04",382,124347,10253,0,4973.88,4989.16,"Also bin ich jeden Sonntag in die Kirche gegangen. Manchmal ist Lt. Dan auch mitgegangen, aber das Beten, hat er, glaub ich, mir überlassen. ",24,66.5208333333333,15.6283026812565,0.367424090909091
199,"Scene",4,"JENNY'S GRAVE","DAY","EXT","01:52:40:02","01:52:58:10",458,3,"-0.615",1,"38.16666667","01:52:40:06","01:52:58:06",450,169006,44659,0,6760.24,6778.24," Der Tod gehört nun mal zum Leben dazu. Der kleine Forrest,... Er macht sich prächtig.",16,105.895833333333,30.3662226999113,0.154040454545455
116,"Scene",4,"GYMNASIUM","DAY","INT","01:13:51:15","01:14:48:03",1413,2,"-0.22",2,"117.75","01:13:51:19","01:14:47:24",1405,110794,-58212,0,4431.76,4487.96,"Und daher werde ich morgen Mittag um 12 Uhr als Präsident zurücktreten. Vizepräsident Ford wird zum selben Zeitpunkt hier in diesem Büro las neuer Präsident vereidigt. hoch gesteckten Ziele von Amerika Private Gump Ja, Sir Stehen sie bequem. Ich habe ihre Entlassungspapiere. Und da war meine Dienstzeit in der Armee der Vereinigten Staaten vorbei. Einfach so Also ging ich nach Haus. ",61,69.8125,14.6039086455398,0.405303
25,"Scene",4,"ALLEY","DAY","EXT","00:14:59:20","00:16:20:00",2005,31,"0.364761905",3,"167.0833333","00:14:59:24","00:16:19:21",1997,22499,-88295,4,899.96,979.84,"Hey, Blödmann Bist du zurückgeblieben oder einfach nur blöd? Nein, ich bin Forrest Gump. Auf die Räder Macht schnell! Los gehts! Wir kriegen ihn schon. Den greifen wir uns. Wir kriegen dich schon. ",33,75.875,16.012246733502,0.474747454545455
123,"Scene",4,"BAYOU LA BATRE","DAY","EXT","01:17:39:02","01:18:09:06",754,2,"-0.22",3,"62.83333333","01:17:39:06","01:18:09:02",746,116481,93982,0,4659.24,4689.08,"Ich hab nur fünf gefangen. Noch zwei dazu und es reicht für'n Cocktail. ehahahahehehechh Hey, was ist denn mit 'nem Namen für das alte Boot? Ich hab noch nie im Leben ein Boot getauft und mir ist auch nur ein einziger Name eingefallen. ###Oh, do a little dance, make a little love### “Free Bird” ",54,104.104166666667,20.9790096214519,0.371212090909091
83,"Scene",4,"SAVANNAH","DAY","EXT","00:50:59:23","00:51:34:01",853,2,"-0.445",2,"71.08333333","00:51:00:02","00:51:33:22",845,76502,-39979,0,3060.08,3093.88," Es war eine Kugel, hab ich recht? Eine Kugel Na, was sie angesprungen und gebissen hat. ooooh Ja, Sir Hat mich direkt in den Allerwertesten gebissen. Aber die Army hat das Geld wohl behalten, ich hab nie einen Cent davon gesehen. ",42,84.3125,5.75160550708156,0.277777727272727
84,"Scene",4,"MILITARY HOSPITAL","DAY","INT","00:51:34:01","00:52:51:09",1933,5,"-0.657",2,"161.0833333","00:51:34:05","00:52:51:05",1925,77355,853,2,3094.2,3171.2," Und soll ich ihnen mal was sagen? Im Bett nebenan lag ein guter Freund von mir. Lt. Dan Ich hab ein Eis. Hier Bitte Lt. Dan, ein Eis Bitte arrghh Zeit für ihr Bad Lieutenant Harper Cooper Larson Webster Gump Gump Ich bin Forrest Gump. Kyle Johnson ",48,98.2708333333333,16.6520058624306,0.353535272727273
197,"Scene",4,"JENNY'S GRAVE","DAY","EXT","01:52:19:09","01:52:34:21",387,2,"-0.33",1,"32.25","01:52:19:13","01:52:34:17",379,168488,91133,0,6739.52,6754.68,"Und ich hab dich hier.... ...unter unserem Baum begraben lassen. Und ich habe das... ...Haus von deinem Vater mit dem Bulldozer einreißen lassen.",23,107.5,19.80472854465,0.078283
91,"Scene",4,"BARBERSHOP","DAY","INT","00:55:23:18","00:55:28:21",128,2,"-0.39",1,"10.66666667","00:55:23:22","00:55:28:17",120,83097,-85391,0,3323.88,3328.68,"huuaaaah ooooaaah hehehe",3,56.9791666666667,7.02791377079265,0.290404
181,"Scene",12,"CITY STREET","DAY","EXT","01:39:40:09","01:40:15:15",881,2,"0.22",1,"24.47222222","01:39:40:13","01:40:15:11",873,149513,NA,0,5980.52,6015.44," Hey, Mann Ich mach Autoaufkleber, weißt du? Und mir fehlt 'n guter neuer Slogan. Und wo du doch so 'ne super Inspiration für die Menschen hier bist, dachte ich, dir fällt vielleicht was gutes ein für, whoa, Mann, du bist gerade durch nen riesen Haufen Hundescheisse gelaufen. Das passiert. Was, Scheisse Manchmal Er hat ne Menge Geld damit verdient. ###???###",61,67.0208333333333,8.47061622821588,0.327380942857143
23,"Scene",12,"TREE ON A FIELD","NIGHT","EXT","00:14:25:06","00:14:46:03",522,2,"-0.595",2,"14.5","00:14:25:10","00:14:45:24",514,21635,-127878,1,865.4,885.96,"Und manchmal saßen wir einfach nur so da und warteten auf die Sterne. Mama macht sich bestimmt Sorgen um mich. Bleib doch noch ein bisschen länger! Aus irgendeinem Grund wollte Jenny nie nach Hause gehen. Ok, Jenny Ich bleibe. Sie war meine aller beste Freundin.",45,51.3472222222222,15.4267020104958,0.296825371428571
166,"Scene",12,"GUMP HOUSE PORCH","DAY","EXT","01:35:37:05","01:36:26:03",1223,4,"-0.195",1,"33.97222222","01:35:37:09","01:36:25:24",1215,143434,121799,0,5737.36,5785.96,"An dem Tag,... Ich lief bis zum Ende der Straße und als ich da ankam dachte ich: Vielleicht kann ich auch bis zum Ende der Stadt laufen.",27,94.3888888888889,17.5558745199073,0.2619048
117,"Scene",12,"GUMP HOUSE","DAY","INT","01:14:48:03","01:15:44:13",1410,3,"0.247777778",3,"39.16666667","01:14:48:07","01:15:44:09",1402,112207,-31227,1,4488.28,4544.36,"haaaa heeee Da bin ich wieder. Mama Ich weiß. Ich weiß. Louise, er ist da! Er ist da! Kommt alle. Hier sind alle möglichen Leute gewesen. Forrest uhm äh Hi, Miss Louise. Hi, Forrest. Das weiß ich. Das weiß ich. Aber es sind 25.000 Dollar. Forrest Vielleicht kannst du ihn ja mal ausprobieren. Vielleicht gewöhnst du dich dran. ",58,74.4097222222222,22.9553256175195,0.299603228571429
104,"Scene",12,"SAVANNAH","DAY","EXT","01:05:58:06","01:06:03:02",121,2,"-0.56",1,"3.361111111","01:05:58:10","01:06:02:23",113,98960,-13247,0,3958.4,3962.92,"Ich war sogar noch berühmter als Pinoccio. ",7,66.5138888888889,10.9676381824706,0.0503969714285714
38,"Scene",12,"FOOTBALL FIELD","DAY","EXT","00:20:01:19","00:20:41:00",981,10,"0.1155",4,"27.25","00:20:01:23","00:20:40:21",973,30048,-68912,2,1201.92,1240.84,"Hahahahaha whoohooo ieeeaaahahahahahahahahaha Na, also bwuaaaah Großer Gott Wer ist das? Das ist Forrest Gump. Coach hehehehe Und ob sies glauben oder nicht... Ich bin dann auch noch aufs College gekommen.",31,91.5763888888889,17.0270603373031,0.298015857142857
85,"Scene",12,"MILITARY HOSPITAL","DAY","INT","00:52:51:09","00:54:11:24",2015,4,"-0.615",2,"55.97222222","00:52:51:13","00:54:11:20",2007,79288,49240,0,3171.52,3251.8," Gump Wieso guckst du dir nur diese blöde Scheisse an? Dreh das ab! au “What the World Needs Now Is Love” Hey, Gump Na, komm, dann zeig ichs dir, ok? Also das wichtigste an dem Spiel ist, ... ...ganz egal, was passiert, ...aber du darfst nie den Ball aus dem Auge verlieren. Na, dann Aus irgendeinem Grund war ich wohl ein Naturtalent beim Ping Pong. Siehst du? Jeder Idiot kann das spielen. Jedenfalls spielte ichs von da an dauernd. Sogar Lt. Dan kam und hat mir beim Spielen zugesehen.",90,59.7986111111111,12.9637984188449,0.347619057142857
90,"Scene",12,"PURPLE HEART (BROADCAST)","DAY","INT","00:55:05:23","00:55:23:18",445,5,"-0.391666667",3,"12.36111111","00:55:06:02","00:55:23:14",437,82652,3364,1,3306.08,3323.56," ööh Wo wurden sie getroffen? In den Allerwertesten Sir Na, das muss ja ein Anblick sein. Das möcht' ich gerne sehen.",22,57.8888888888889,8.3262589019071,0.185317485714286
